# Oscilloscope Data

# Seconds	currentAverage	currentRawValue	currentValue	voltageValue	voltageAverage	voltageRawValue
3172.920	1.17549e-38	0	4.01964	1.04712	1.17549e-38	0
3173.020	1.17549e-38	0	4.01964	1.04712	1.17549e-38	0
3173.120	1.17549e-38	0	4.01964	1.04712	1.17549e-38	0
3173.220	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3173.320	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3173.420	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3173.520	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3173.523	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3173.622	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3173.722	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3173.822	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3173.922	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3174.022	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3174.122	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3174.222	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3174.322	1.17549e-38	0	3.9739	1.07353	1.17549e-38	0
3174.422	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3174.522	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3174.622	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3174.722	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3174.822	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3174.922	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3175.022	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3175.122	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3175.222	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3175.322	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3175.422	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3175.522	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3175.525	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3175.624	1.17549e-38	0	3.98406	1.28481	1.17549e-38	0
3175.724	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3175.824	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3175.924	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3176.024	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3176.124	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3176.224	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3176.324	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3176.424	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3176.524	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3176.624	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3176.724	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3176.824	1.17549e-38	0	4.02133	0.879853	1.17549e-38	0
3176.924	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3177.024	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3177.124	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3177.224	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3177.324	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3177.424	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3177.524	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3177.527	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3177.626	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3177.726	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3177.826	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3177.926	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3178.026	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3178.126	1.17549e-38	0	4.00608	0.862246	1.17549e-38	0
3178.226	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3178.326	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3178.426	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3178.526	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3178.626	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3178.726	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3178.826	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3178.926	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3179.026	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3179.126	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3179.226	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3179.326	1.17549e-38	0	3.96882	2.34121	1.17549e-38	0
3179.426	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3179.526	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3179.529	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3179.628	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3179.728	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3179.828	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3179.928	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3180.028	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3180.128	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3180.228	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3180.328	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3180.428	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3180.528	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3180.628	1.17549e-38	0	3.96035	0.76541	1.17549e-38	0
3180.728	1.17549e-38	0	3.94849	0.967886	1.17549e-38	0
3180.828	1.17549e-38	0	3.94849	0.967886	1.17549e-38	0
3180.928	1.17549e-38	0	3.94849	0.967886	1.17549e-38	0
3181.028	1.17549e-38	0	3.94849	0.967886	1.17549e-38	0
3181.128	1.17549e-38	0	3.94849	0.967886	1.17549e-38	0
3181.228	1.17549e-38	0	3.94849	0.967886	1.17549e-38	0
3181.328	1.17549e-38	0	3.94849	0.967886	1.17549e-38	0
